Machine_ID,Timestamp,temprature_C,Vibration_m_s2,Pressure_bar,Humidity_%,Oil_Level_%,Load_Capacity_%,Maintenance_History,Failure_Type
1053,07-01-2024 06:18,74.5,0.67,3.45,63,54.48,87.25,1,Good_Maintenance
1092,11-01-2024 13:07,54.31,0.73,3.58,39,35.16,76.45,1,Good_Maintenance
1062,26-01-2024 22:55,59.1,0.64,3.2,26,41.65,83.89,0,Mechanical
1017,03-01-2024 18:25,89.5,0.59,3.53,73,43.04,72.36,1,Good_Maintenance
1089,30-01-2024 21:32,62.58,0.69,3.07,32,44.66,79.08,0,Mechanical
1043,14-01-2024 14:03,73.29,0.39,3.22,40,60.17,84.19,0,Hydraulic
1033,26-01-2024 21:46,68.47,0.66,3.35,44,44.51,83.59,1,Good_Maintenance
1073,13-01-2024 22:08,71.47,0.67,3.33,48,56.08,80.73,1,Good_Maintenance
1061,28-01-2024 04:19,69,0.64,2.64,59,42.29,86,1,Good_Maintenance
1099,02-01-2024 04:46,77.72,0.52,2.99,41,47.2,76.32,0,Hydraulic
1013,19-01-2024 11:02,77.51,0.48,3.22,29,26.01,80.44,1,Overheating
1094,05-01-2024 00:31,70.94,0.4,3.36,38,49.29,80.26,1,Good_Maintenance
1047,06-01-2024 20:58,62.76,0.82,3.47,38,49.86,82.1,0,Wear
1014,12-01-2024 23:01,65.45,0.59,3.21,70,48.06,83.03,0,Hydraulic
1071,15-01-2024 13:28,57.39,0.54,3.64,67,69.65,73.53,0,Electrical
1077,12-01-2024 20:30,67.32,0.52,3.08,55,49.35,83.41,0,Hydraulic
1086,20-01-2024 09:37,55.87,0.46,3.54,44,22.78,73.97,1,Good_Maintenance
1061,30-01-2024 01:11,71.75,0.52,3.14,37,37.8,84.6,0,Mechanical
1039,30-01-2024 19:33,72.37,0.78,2.83,33,49.57,88.76,1,Good_Maintenance
1084,26-01-2024 23:35,78.04,0.69,4.25,58,49.2,77.5,0,Electrical
1079,30-01-2024 16:50,60.24,0.72,3.4,36,41.87,75.3,1,Good_Maintenance
1081,15-01-2024 10:42,60.78,0.74,2.46,64,39.79,88.31,0,Wear
1052,08-01-2024 05:40,82.2,0.93,3.56,40,63.86,79.66,1,Overheating
1023,05-01-2024 14:42,59.05,0.6,3.27,25,59.9,73.27,1,Good_Maintenance
1025,14-01-2024 17:35,86.41,0.54,3.55,40,61.25,75.4,1,Overheating
1088,20-01-2024 23:14,62.61,0.67,3.42,30,43.72,75.68,1,Good_Maintenance
1059,04-01-2024 00:37,62.66,0.7,2.89,44,57,86.02,1,Good_Maintenance
1040,15-01-2024 18:23,76.74,0.59,3.57,30,24.33,74.94,1,Overheating
1028,10-01-2024 04:01,74.4,0.47,2.93,59,45.84,68.29,1,Good_Maintenance
1014,02-01-2024 21:39,83.13,0.63,2.88,65,44.49,79.75,0,Mechanical
1044,10-01-2024 04:31,54.87,0.68,3.07,27,47.49,81.48,1,Good_Maintenance
1064,30-01-2024 08:38,74.27,0.65,2.78,45,51.15,82.86,0,Hydraulic
1088,30-01-2024 12:15,69.63,0.32,3.4,31,48.29,66.44,1,Good_Maintenance
1070,15-01-2024 16:48,61.39,0.36,4.03,38,38.72,79.08,1,Good_Maintenance
1008,23-01-2024 15:44,85.05,0.71,2.76,54,42.56,77.85,0,Wear
1087,08-01-2024 09:15,71.88,0.54,3.75,46,55.18,82.1,1,Good_Maintenance
1000,07-01-2024 22:04,69.5,0.93,2.96,38,53.55,70.07,1,Good_Maintenance
1007,20-01-2024 07:05,73.63,0.8,2.96,49,65.93,80.75,1,Good_Maintenance
1087,21-01-2024 11:50,56.17,0.41,2.74,27,53.12,80.91,0,Hydraulic
1062,12-01-2024 23:41,60.01,0.75,3.34,29,64.88,85.68,0,Wear
1010,14-01-2024 08:54,67.34,0.84,2.67,29,35.52,81.77,1,Good_Maintenance
1080,08-01-2024 21:52,72.53,0.53,3.01,66,55.91,83.48,0,Good_Maintenance
1007,09-01-2024 13:36,80.2,0.59,3.64,33,57.58,73.81,1,Overheating
1034,09-01-2024 06:59,62.92,0.52,3.83,72,54.85,79.46,1,Good_Maintenance
1034,20-01-2024 00:52,61.09,0.43,2.82,65,37.99,86.51,0,Mechanical
1032,12-01-2024 13:56,74.01,0.84,3.08,62,53.17,77.5,1,Good_Maintenance
1004,07-01-2024 20:03,68.91,0.21,3.14,61,46.39,83.87,1,Good_Maintenance
1040,18-01-2024 10:32,54.63,0.5,2.61,28,55.78,75.15,0,Hydraulic
1027,22-01-2024 05:58,62.65,0.54,2.97,44,49.13,78.83,1,Good_Maintenance
1006,25-01-2024 14:54,68.55,0.62,2.95,45,44.31,71.88,0,Mechanical
1072,23-01-2024 22:01,68.77,0.41,3.4,74,72.82,79.54,0,Hydraulic
1071,19-01-2024 21:48,70.72,0.8,3.3,72,42.57,75.76,1,Good_Maintenance
1011,11-01-2024 00:29,59.6,0.32,3.25,48,52.79,85.7,1,Good_Maintenance
1033,14-01-2024 00:38,68.95,0.33,3.12,31,55.52,90.14,0,Hydraulic
1032,02-01-2024 13:52,77.58,0.61,3.72,70,47.07,71.34,0,Electrical
1047,13-01-2024 01:10,46.9,0.41,3.19,73,61.39,73.78,0,Hydraulic
1022,16-01-2024 15:38,67.74,0.63,3.6,32,58.63,84.59,1,Good_Maintenance
1061,03-01-2024 08:40,56.7,0.49,3.44,35,33.13,76.14,0,Electrical
1087,11-01-2024 16:11,69.74,0.72,3.26,73,56.19,79.55,1,Good_Maintenance
1036,26-01-2024 21:50,57.96,0.46,3.56,70,67.73,87.53,0,Electrical
1098,26-01-2024 04:51,71.07,0.82,3.08,33,42.38,87.67,1,Good_Maintenance
1043,13-01-2024 14:27,83.01,0.69,2.84,30,36.23,73.45,1,Overheating
1085,03-01-2024 06:51,62.16,0.49,3.19,64,46.98,89.63,0,Hydraulic
1090,25-01-2024 11:36,63.32,0.69,3.8,41,49.68,83.33,0,Electrical
1034,08-01-2024 13:32,66.24,0.62,3.29,37,50.31,85,0,Hydraulic
1064,24-01-2024 20:06,72.55,0.72,3,69,60.47,76.63,1,Good_Maintenance
1098,27-01-2024 00:18,61.85,0.69,2.88,41,43.06,76.12,1,Good_Maintenance
1046,28-01-2024 00:09,66.96,0.65,2.59,26,55.31,71.26,1,Good_Maintenance
1077,26-01-2024 20:07,64.64,0.61,2.87,54,57.71,73.75,0,Hydraulic
1002,28-01-2024 23:28,66.27,0.74,3.32,56,51.02,83.4,1,Good_Maintenance
1000,19-01-2024 01:15,72.64,0.78,3.11,74,43.76,82.28,0,Wear
1004,04-01-2024 18:09,74.41,0.62,3.29,60,38.43,83.92,1,Good_Maintenance
1089,30-01-2024 11:18,58.19,0.69,2.84,31,34.64,81.16,1,Good_Maintenance
1013,21-01-2024 17:03,72.61,0.74,3.61,40,35.3,79.86,1,Good_Maintenance
1026,06-01-2024 11:09,95.17,0.84,3.5,43,33.9,76.47,0,Wear
1008,25-01-2024 19:24,82.35,0.81,2.98,39,65.25,78.56,1,Overheating
1078,16-01-2024 13:21,64.87,0.75,2.64,38,48.19,84.47,1,Good_Maintenance
1014,19-01-2024 00:38,71.06,0.54,3.3,69,70.43,84.06,0,Hydraulic
1089,08-01-2024 11:26,69.73,0.4,2.41,31,53.68,81.24,1,Good_Maintenance
1041,14-01-2024 17:28,73.68,0.68,2.67,71,34.64,75.29,0,Mechanical
1076,22-01-2024 09:14,66.62,0.68,3.04,57,48.02,77.57,1,Good_Maintenance
1050,19-01-2024 03:45,67.85,0.54,2.85,58,56.26,73.23,1,Good_Maintenance
1062,08-01-2024 00:06,64.15,0.4,3.72,48,53.11,78.19,1,Good_Maintenance
1095,19-01-2024 08:42,78.76,0.85,3.07,59,45.63,71.63,0,Wear
1051,12-01-2024 09:32,72.49,0.66,3.39,45,58.89,78.3,0,Hydraulic
1095,18-01-2024 18:36,72.55,0.42,2.33,48,39.47,76.65,1,Good_Maintenance
1003,08-01-2024 02:55,79.75,0.58,2.49,61,51.71,79.93,1,Overheating
1093,30-01-2024 10:46,79.87,0.4,2.93,40,57.89,76.09,1,Overheating
1022,29-01-2024 03:24,78.36,0.7,3.29,41,46.24,83.65,0,Electrical
1014,17-01-2024 04:52,79.63,0.88,2.69,53,54.93,71.78,1,Overheating
1042,11-01-2024 22:44,82.5,0.57,3.35,42,48.7,72.02,1,Overheating
1028,20-01-2024 03:23,62.27,0.59,3.74,72,51.96,78.64,1,Good_Maintenance
1035,16-01-2024 08:59,67.61,0.56,2.88,35,54.14,81.32,0,Hydraulic
1012,26-01-2024 06:10,75.67,0.57,3.2,27,47.01,77.94,0,Hydraulic
1031,04-01-2024 12:22,62.92,0.48,3.09,66,63.86,78.36,0,Hydraulic
1070,06-01-2024 00:44,67.09,0.81,3.03,42,52.54,80.47,1,Good_Maintenance
1058,05-01-2024 10:12,71.56,0.63,3.33,40,55.5,82.48,1,Good_Maintenance
1085,28-01-2024 16:33,68.16,0.61,3.2,65,61.33,77.86,0,Hydraulic
1027,14-01-2024 20:45,70.53,0.57,3.13,25,55.88,80.95,0,Hydraulic
1065,12-01-2024 18:36,60.84,0.41,3.26,67,40.47,84.92,1,Good_Maintenance
1041,29-01-2024 02:33,69.7,0.74,3.55,67,57.21,73.16,0,Wear
1044,10-01-2024 15:34,71.07,0.81,3.44,51,52.53,86.32,0,Wear
1061,24-01-2024 04:22,82.92,0.32,2.5,55,42.97,85.94,0,Mechanical
1056,03-01-2024 19:30,67.85,0.71,2.85,69,61.4,75.82,1,Good_Maintenance
1005,12-01-2024 14:29,64.8,0.73,3.43,52,39.7,82.6,0,Wear
1027,11-01-2024 22:02,75.7,0.79,4.23,64,44.48,72.33,1,Overheating
1027,11-01-2024 13:30,44.6,0.78,2.94,51,45.8,81.51,0,Wear
1043,26-01-2024 09:05,67.46,1,2.6,33,37.24,86.82,0,Wear
1083,27-01-2024 20:34,65.89,0.66,4.11,62,49.82,74.77,1,Good_Maintenance
1029,24-01-2024 22:49,72.09,0.75,3.71,60,43.36,76.21,1,Good_Maintenance
1061,13-01-2024 07:33,79.97,0.6,3.68,65,52.26,81.81,0,Electrical
1074,14-01-2024 22:40,82.41,0.48,3.24,51,67.27,78.27,0,Hydraulic
1091,26-01-2024 11:04,71.98,0.71,3.18,71,49.61,80.96,0,Wear
1088,28-01-2024 13:49,57.59,0.75,3.14,74,54.82,92.22,0,Wear
1061,27-01-2024 09:34,65.89,0.65,3.5,50,49.81,77.93,1,Good_Maintenance
1096,29-01-2024 13:52,66.76,0.35,3.7,51,46.84,72.16,1,Good_Maintenance
1000,19-01-2024 22:10,72.94,0.38,3.27,28,57.31,76.7,0,Hydraulic
1026,15-01-2024 01:09,70.45,0.72,3.51,72,40.61,80.93,0,Wear
1061,12-01-2024 10:35,64.49,0.55,3.76,62,59.97,73.6,0,Electrical
1076,21-01-2024 03:31,59.99,0.65,3.58,36,42.26,76.58,1,Good_Maintenance
1002,06-01-2024 15:28,63.05,0.67,3.43,71,63.48,85.92,0,Electrical
1069,23-01-2024 12:50,62.76,0.58,2.91,39,46.33,88.16,0,Hydraulic
1071,14-01-2024 02:57,82.97,0.56,2.94,71,41.75,78.03,0,Hydraulic
1026,06-01-2024 16:08,63.84,0.58,2.51,72,51.02,78.16,1,Good_Maintenance
1008,05-01-2024 18:21,70.48,0.69,3.35,54,34.27,73.87,1,Good_Maintenance
1061,29-01-2024 23:58,77.75,0.67,3.25,38,39.26,81.27,0,Mechanical
1036,10-01-2024 13:10,71.56,0.48,3.71,32,54.74,91.95,0,Electrical
1096,12-01-2024 19:08,61.31,0.6,3.38,52,61.77,78.16,0,Hydraulic
1050,03-01-2024 01:39,77.88,0.44,3.07,55,44.12,78.33,0,Mechanical
1043,17-01-2024 08:04,72.83,0.68,3.01,26,62.75,82.48,1,Good_Maintenance
1023,05-01-2024 21:45,52.52,0.53,3.34,39,45.87,77.74,1,Good_Maintenance
1078,27-01-2024 04:04,79.97,0.71,3.3,64,51.82,77.83,0,Wear
1058,17-01-2024 02:24,76.99,0.56,3.93,67,51.91,86.91,0,Electrical
1031,24-01-2024 04:05,72.71,0.77,3.16,72,65.31,73.54,1,Good_Maintenance
1095,17-01-2024 11:04,83.08,0.8,3.39,32,58.84,74.59,1,Overheating
1087,04-01-2024 21:42,76.8,0.67,3.85,29,47.97,83.22,1,Overheating
1051,13-01-2024 16:21,79.02,0.54,3.14,28,74.35,79.25,1,Overheating
1061,20-01-2024 17:39,78.29,0.46,3.07,36,49.43,74.62,1,Overheating
1057,24-01-2024 22:27,76.06,0.74,2.67,34,50.15,81.45,0,Wear
1051,18-01-2024 18:45,55.67,0.59,3.06,28,53.32,78.33,0,Hydraulic
1011,21-01-2024 06:11,56.63,0.61,3.35,34,45.79,80.86,1,Good_Maintenance
1038,16-01-2024 09:24,76.81,0.54,3.75,53,63.84,78.59,0,Electrical
1001,10-01-2024 13:56,79.85,0.39,2.65,52,49.04,72.6,0,Hydraulic
1002,26-01-2024 14:14,64.36,0.76,2.84,53,56.47,85.3,1,Good_Maintenance
1055,22-01-2024 18:00,61.09,0.59,2.45,43,22.58,88.46,0,Mechanical
1080,01-01-2024 11:05,72.1,0.32,3.92,67,51.31,75.4,1,Good_Maintenance
1058,23-01-2024 16:54,58.38,0.58,3.26,37,46.64,88.05,1,Good_Maintenance
1001,17-01-2024 19:50,68.65,0.4,3.03,58,50.71,79.47,0,Hydraulic
1001,16-01-2024 23:15,67.16,0.69,2.48,70,38.42,64.85,0,Mechanical
1091,19-01-2024 14:24,68.2,0.67,3.2,44,48.17,82.13,0,Hydraulic
1053,11-01-2024 03:25,85.08,0.83,3.04,42,51.84,68.99,0,Wear
1086,13-01-2024 03:03,64.93,0.38,2.48,72,46.43,77.56,0,Hydraulic
1095,06-01-2024 20:19,70.43,0.82,3.08,60,55.97,83.53,1,Good_Maintenance
1096,24-01-2024 11:57,59.5,0.68,3.69,25,50.64,82.38,1,Good_Maintenance
1000,04-01-2024 15:43,77.52,0.39,3.1,50,56.37,76.4,0,Hydraulic
1018,29-01-2024 06:39,68.56,0.87,3.67,27,59.77,83.14,0,Wear
1001,24-01-2024 16:51,79.43,0.58,3.82,68,60.57,84.51,1,Overheating
1052,26-01-2024 21:16,50.34,0.42,3.09,27,46.18,76.99,0,Hydraulic
1043,24-01-2024 23:23,69.53,0.76,3.16,45,46.03,78.29,1,Hydraulic
1089,01-01-2024 08:39,71.06,0.44,3.4,42,66.04,81,1,Good_Maintenance
1031,22-01-2024 14:26,77.29,0.77,3.61,55,40.82,74.21,0,Wear
1069,08-01-2024 07:14,64.86,0.57,3.77,60,45.8,75.95,0,Electrical
1031,06-01-2024 00:33,76.29,0.55,3.81,73,48.39,85,1,Overheating
1067,01-01-2024 18:22,65.78,0.4,2.91,68,41.43,91.49,1,Good_Maintenance
1054,01-01-2024 09:57,70.75,0.44,3.78,55,51.13,83.04,1,Good_Maintenance
1074,14-01-2024 15:37,77.38,0.62,3.41,32,62.15,81.32,1,Overheating
1055,27-01-2024 18:29,62.56,0.35,2.99,49,30.87,89.15,1,Good_Maintenance
1016,05-01-2024 08:16,75.92,0.7,2.74,73,44.84,75.37,0,Mechanical
1037,30-01-2024 23:08,72.68,0.52,2.88,70,51.19,80.41,1,Good_Maintenance
1023,21-01-2024 10:01,67.33,0.54,3.35,44,65.65,84.14,0,Hydraulic
1068,29-01-2024 20:28,64.65,0.69,3,35,35.06,75.85,1,Good_Maintenance
1097,05-01-2024 13:14,53.19,0.57,3.34,64,58.69,71.8,1,Good_Maintenance
1069,09-01-2024 19:04,69.36,0.78,2.75,25,48.37,84.11,0,Wear
1085,30-01-2024 10:07,67.34,0.29,2.9,45,51.62,84.76,0,Hydraulic
1010,17-01-2024 22:26,75.11,0.72,3.16,41,62.28,84.22,0,Wear
1015,04-01-2024 08:46,74.3,0.6,3.13,52,48.68,84.31,0,Hydraulic
1096,19-01-2024 04:45,78.56,0.5,2.69,42,49.67,80.45,0,Hydraulic
1072,18-01-2024 18:10,78.85,0.74,2.95,53,51.35,80.71,1,Overheating
1058,22-01-2024 00:15,95.24,0.69,2.5,34,52.01,81.15,0,Hydraulic
1069,15-01-2024 17:02,74.11,0.63,3.23,33,39.11,85.54,1,Good_Maintenance
1079,28-01-2024 08:13,63.12,0.56,3.81,58,51.62,81.4,0,Electrical
1092,30-01-2024 20:59,76.61,0.49,2.89,44,54.34,80.43,1,Overheating
1002,12-01-2024 03:23,82.85,0.44,2.82,55,33.86,81.67,1,Overheating
1019,25-01-2024 19:54,73.8,0.8,3.59,27,58.64,82.23,0,Wear
1058,01-01-2024 06:40,53.01,0.72,2.73,25,59.15,74.71,0,Wear
1035,14-01-2024 08:39,74.44,0.69,3.6,57,52.53,86.94,0,Electrical
1018,08-01-2024 05:36,64.96,0.54,2.72,74,36.55,76.69,1,Good_Maintenance
1089,03-01-2024 08:52,59.42,0.91,3.06,32,43.51,80.36,1,Wear
1066,12-01-2024 10:00,71.49,0.5,3.1,42,26.74,75.31,0,Mechanical
1018,17-01-2024 22:46,57.79,0.54,3.48,54,46.42,78.99,1,Good_Maintenance
1019,02-01-2024 07:15,78.19,0.87,3.95,57,40.87,82.68,1,Overheating
1095,26-01-2024 17:46,75.85,0.59,3.06,46,49.32,81.56,0,Hydraulic
1070,26-01-2024 08:56,69.31,0.86,3.19,41,60.01,77.32,0,Wear
1051,04-01-2024 23:52,65.6,0.66,2.52,66,44.98,76.56,0,Mechanical
1032,15-01-2024 17:37,68.53,0.52,3.18,33,54.11,81.3,0,Hydraulic
1039,09-01-2024 16:09,61.91,0.57,3.66,46,49.12,85.4,0,Electrical
1038,01-01-2024 22:33,69.38,0.49,4.15,34,40.96,87.17,0,Electrical
1081,19-01-2024 17:46,47.24,0.7,3.06,57,64.09,90.07,1,Good_Maintenance
1000,15-01-2024 20:11,70.71,0.78,3.49,72,58.27,76.49,1,Good_Maintenance
1010,28-01-2024 08:05,70.91,0.67,3.66,63,38.91,76.15,0,Electrical
1091,11-01-2024 04:51,76.76,0.64,2.62,27,54.48,79.41,0,Hydraulic
1056,03-01-2024 23:51,72.4,0.44,3.77,41,47.92,79.13,0,Electrical
1088,08-01-2024 11:54,77.82,0.76,2.88,33,55.13,72.84,1,Overheating
1049,03-01-2024 00:54,74.38,0.73,3.31,71,36.59,84.2,1,Good_Maintenance
1022,12-01-2024 09:26,78.29,0.64,2.69,64,46.52,76.12,0,Hydraulic
1030,08-01-2024 05:14,90.97,0.55,3.05,60,53.54,76.77,0,Hydraulic
1093,19-01-2024 15:52,73.36,0.61,2.52,43,39.12,82.15,1,Good_Maintenance
1041,29-01-2024 23:08,71.47,0.46,3.31,58,52.59,74.03,1,Good_Maintenance
1098,29-01-2024 12:53,79.5,0.38,3.81,26,46.65,78.73,1,Overheating
1006,15-01-2024 10:40,66.25,0.56,3.21,69,50.44,83.7,1,Good_Maintenance
1015,27-01-2024 07:49,69.05,0.47,2.62,51,60.2,80.25,1,Good_Maintenance
1089,15-01-2024 19:52,73.37,0.52,3.06,43,77.07,83.73,0,Hydraulic
1059,26-01-2024 07:19,70.58,0.53,3.29,57,50.78,84.91,0,Hydraulic
1001,20-01-2024 15:52,70.54,0.59,3.14,50,48.12,79.58,0,Hydraulic
1000,28-01-2024 19:40,77.2,0.58,3.47,71,69.31,63.24,1,Overheating
1047,11-01-2024 17:18,56.43,0.14,4.01,58,61.34,86.14,1,Good_Maintenance
1011,17-01-2024 05:45,86.27,0.65,3.18,52,67.76,79.76,0,Hydraulic
1068,13-01-2024 20:02,73.89,0.62,3.15,40,52.38,83.95,1,Good_Maintenance
1036,23-01-2024 13:11,66.8,0.74,2.91,46,58.16,86.84,1,Good_Maintenance
1031,29-01-2024 14:52,83.02,0.57,3.61,52,50.48,70.87,0,Electrical
1008,10-01-2024 01:06,70.83,0.76,3.96,38,50.56,79.98,1,Good_Maintenance
1098,30-01-2024 05:29,71.04,0.58,3.12,30,51.11,87.72,0,Hydraulic
1018,14-01-2024 15:28,68.28,0.65,3.3,35,54.16,78.97,0,Hydraulic
1047,04-01-2024 18:35,81.74,0.46,3.27,70,50.74,84.88,0,Hydraulic
1079,06-01-2024 21:33,69.93,0.77,2.89,44,63.89,74.52,0,Wear
1002,05-01-2024 15:31,65.53,0.79,3.49,60,55.76,82.39,1,Good_Maintenance
1019,02-01-2024 22:03,77.99,0.88,3.18,73,52.01,73.74,1,Overheating
1023,15-01-2024 03:49,79.46,0.52,3.29,40,51.61,84.51,0,Hydraulic
1053,22-01-2024 20:58,82.85,0.68,3.59,30,45.75,77.74,1,Overheating
1032,26-01-2024 00:09,75.07,0.38,3.07,32,39.15,87.15,1,Overheating
1023,25-01-2024 21:05,79.17,0.32,3.24,69,60.01,87.33,1,Overheating
1074,12-01-2024 18:14,67.93,0.68,2.91,60,59.96,76.98,0,Hydraulic
1071,04-01-2024 20:54,78.21,0.58,2.76,72,38.93,88.4,0,Mechanical
